No,long,lat,group,order,region,subregion,WALK,BIKE,CAR,TAXI,BUS,TRAIN,PARA
106,-85.34779358,33.66127014,1,106,alabama,NA,-9,-9,1,-9,-9,-9,-9
107,-85.31341553,33.49510956,1,107,alabama,NA,-9,-9,1,-9,-9,-9,-9
108,-85.2962265,33.43209076,1,108,alabama,NA,-9,-9,1,-9,-9,-9,-9
109,-85.24465942,33.11696243,1,109,alabama,NA,-9,-9,1,-9,-9,-9,-9
110,-85.23892975,33.10549927,1,110,alabama,NA,-9,-9,1,-9,-9,-9,-9
111,-85.19309235,32.87059021,1,111,alabama,NA,-9,-9,1,-9,-9,-9,-9
112,-85.19309235,32.85912704,1,112,alabama,NA,-9,-9,1,-9,-9,-9,-9
113,-85.17018127,32.84194183,1,113,alabama,NA,-9,-9,1,-9,-9,-9,-9
114,-85.14725494,32.79037476,1,114,alabama,NA,-9,-9,1,-9,-9,-9,-9
115,-85.13007355,32.76745605,1,115,alabama,NA,-9,-9,1,-9,-9,-9,-9
116,-85.13007355,32.75026703,1,116,alabama,NA,-9,-9,1,-9,-9,-9,-9
117,-85.12434387,32.73308182,1,117,alabama,NA,-9,-9,1,-9,-9,-9,-9
118,-85.10141754,32.67578125,1,118,alabama,NA,-9,-9,1,-9,-9,-9,-9
119,-85.10141754,32.63567352,1,119,alabama,NA,-9,-9,1,-9,-9,-9,-9
120,-85.06703949,32.60702896,1,120,alabama,NA,-9,-9,1,-9,-9,-9,-9
121,-85.04985809,32.55546188,1,121,alabama,NA,-9,-9,1,-9,-9,-9,-9
122,-85.00975037,32.52681732,1,122,alabama,NA,-9,-9,1,-9,-9,-9,-9
123,-84.98683167,32.49816513,1,123,alabama,NA,-9,-9,1,-9,-9,-9,-9
124,-84.99256134,32.46951675,1,124,alabama,NA,-9,-9,1,-9,-9,-9,-9
125,-84.97537231,32.42368317,1,125,alabama,NA,-9,-9,1,-9,-9,-9,-9
126,-84.98109436,32.37784576,1,126,alabama,NA,-9,-9,1,-9,-9,-9,-9
127,-85.00402069,32.33773804,1,127,alabama,NA,-9,-9,1,-9,-9,-9,-9
