HOUSEID,HHSTATE
30005291,NC
30005291,NC
30005307,TX
30005307,TX
30005309,WI
30005315,NY
30005355,FL
30005358,WI
30005358,WI
30005360,WI
30005360,WI
30005361,IA
30005361,IA
30005361,IA
30005365,CA
30005365,CA
30005372,NY
30005372,NY
30005383,NY
30005395,PA
30005414,TX
30005418,NC
30005418,NC
30005445,NY
30005460,IL
30005460,IL
30005467,NC
30005470,AL
30005470,AL
30005475,WI
30005475,WI
30005484,GA
30005484,GA
30005490,MA
30005490,MA
30005504,CA
30005504,CA
30005513,TX
30005513,TX
30005526,CA
30005526,CA
30005526,CA
30005526,CA
30005535,GA
30005537,WI
30005537,WI
30005550,GA
30005550,GA
30005563,NC
30005565,NY
30005574,WI
30005590,CA
30005590,CA
30005593,TX
30005596,WA
30005596,WA
30005609,TX
30005609,TX
30005609,TX
30005609,TX
30005615,GA
30005615,GA
30005619,TX
30005619,TX
30005626,CA
30005637,WI
30005637,WI
30005638,TX
30005649,WY
30005654,NC
30005679,TX
30005689,CA
30005689,CA
30005693,TX
30005703,WI
30005712,SC
30005713,NY
30005716,AZ
30005716,AZ
30005716,AZ
30005716,AZ
30005728,CA
30005748,DC
30005756,TX
30005756,TX
30005759,TX
30005759,TX
30005767,CA
30005789,WA
30005792,NC
30005792,NC
30005796,CA
30005796,CA
30005802,SC
30005802,SC
30005802,SC
30005808,SC
30005811,ID
30005811,ID
30005812,GA
30005812,GA
30005820,MD
30005820,MD
30005839,TX
30005839,TX
30005839,TX
30005849,VA
30005852,IL
30005852,IL
30005852,IL
30005855,GA
30005855,GA
30005855,GA
30005865,IA
30005868,GA
30005873,TX
30005874,WI
30005883,CA
30005883,CA
30005883,CA
30005883,CA
30005888,TX
30005899,WI
30005903,CA
30005903,CA
30005904,GA
30005921,TX
30005921,TX
30005921,TX
30005927,FL
30005927,FL
30005927,FL
30005936,GA
30005942,AZ
30005942,AZ
30005942,AZ
30005945,NY
30005957,WI
30005960,TX
30005960,TX
30005964,NY
30005967,NC
30005967,NC
30005995,NY
30005995,NY
30006010,WI
30006010,WI
30006010,WI
30006017,NC
30006017,NC
30006017,NC
30006022,TX
30006022,TX
30006029,WI
30006031,CA
30006031,CA
30006031,CA
30006037,WI
30006037,WI
30006042,DE
30006042,DE
30006058,CA
30006078,NY
30006078,NY
30006087,TX
30006087,TX
30006097,NJ
30006097,NJ
30006109,TX
30006109,TX
30006110,AR
30006110,AR
30006120,SC
30006120,SC
30006123,CA
30006123,CA
30006123,CA
30006138,CA
30006144,CA
30006144,CA
30006156,PA
30006156,PA
30006156,PA
30006156,PA
30006170,GA
30006170,GA
30006170,GA
30006176,WI
30006176,WI
30006185,NY
30006185,NY
30006187,CA
30006187,CA
30006187,CA
30006187,CA
30006198,NY
30006198,NY
30006202,VA
30006202,VA
30006210,WI
30006210,WI
30006216,TX
30006219,NC
30006219,NC
30006221,WI
30006221,WI
30006229,TX
30006229,TX
30006238,WI
30006238,WI
30006238,WI
30006238,WI
30006271,CA
30006271,CA
30006272,OH
30006272,OH
30006272,OH
30006273,NY
30006273,NY
30006273,NY
30006273,NY
30006274,NY
30006275,GA
30006275,GA
30006283,CA
30006283,CA
30006301,TX
30006301,TX
30006301,TX
30006301,TX
30006302,GA
30006302,GA
30006309,WI
30006309,WI
30006315,GA
30006319,PA
30006319,PA
30006319,PA
30006319,PA
30006319,PA
30006319,PA
30006321,MD
30006321,MD
30006326,CA
30006326,CA
30006329,TX
30006331,TX
30006332,WI
30006334,WI
30006334,WI
30006334,WI
30006334,WI
30006340,CA
30006341,IA
30006355,CA
30006355,CA
30006371,NC
30006371,NC
30006388,NY
30006388,NY
30006388,NY
30006390,CO
30006390,CO
30006390,CO
30006390,CO
30006391,IA
30006392,TX
30006392,TX
30006395,GA
30006395,GA
30006397,NY
30006397,NY
30006399,IA
30006404,NC
30006404,NC
30006418,NJ
30006418,NJ
30006460,GA
30006460,GA
30006480,GA
30006480,GA
30006510,NC
30006510,NC
30006517,TX
30006526,AL
30006537,TX
30006538,CA
30006538,CA
30006540,NC
30006541,CA
30006541,CA
30006541,CA
30006541,CA
30006546,TX
30006546,TX
30006551,CA
30006567,GA
30006567,GA
30006570,WA
30006579,TX
30006583,SC
30006585,SC
30006585,SC
30006586,NC
30006586,NC
30006587,TX
30006587,TX
30006587,TX
30006587,TX
30006596,TX
30006596,TX
30006596,TX
30006599,CA
30006599,CA
30006599,CA
30006599,CA
30006599,CA
30006599,CA
30006599,CA
30006606,SC
30006606,SC
30006611,TX
30006611,TX
30006611,TX
30006611,TX
30006614,IA
30006614,IA
30006619,TX
30006619,TX
30006622,TX
30006638,GA
30006638,GA
30006650,SC
30006650,SC
30006659,CA
30006664,WI
30006664,WI
30006673,CA
30006673,CA
30006678,TX
30006683,NY
30006685,MI
30006686,CA
30006686,CA
30006694,WI
30006697,NY
30006697,NY
30006725,TX
30006725,TX
30006754,SC
30006754,SC
30006755,VA
30006762,WI
30006763,AZ
30006763,AZ
30006764,GA
30006764,GA
30006764,GA
30006777,NY
30006796,NC
30006800,NC
30006807,CA
30006807,CA
30006833,SC
30006833,SC
30006843,TX
30006848,NJ
30006848,NJ
30006850,CA
30006851,NY
30006851,NY
30006878,SC
30006890,NY
30006898,WI
30006898,WI
30006910,OK
30006910,OK
30006910,OK
30006910,OK
30006917,NC
30006917,NC
30006917,NC
30006925,WI
30006925,WI
30006925,WI
30006934,CA
30006934,CA
30006943,CA
30006952,TX
30006957,NY
30006961,TX
30006961,TX
30006972,OH
30006972,OH
30006972,OH
30006972,OH
30006972,OH
30006983,TX
30006983,TX
30006987,CA
30006987,CA
30006997,TX
30007005,SC
30007005,SC
30007019,CA
30007019,CA
30007028,IL
30007034,TX
30007034,TX
30007049,TX
30007049,TX
30007049,TX
30007052,NC
30007052,NC
30007052,NC
30007056,CA
30007056,CA
30007067,GA
30007067,GA
30007076,TX
30007076,TX
30007091,NY
30007093,WI
30007093,WI
30007129,WI
30007129,WI
30007132,MT
30007132,MT
30007134,TX
30007134,TX
30007141,CA
30007141,CA
30007153,IL
30007153,IL
30007153,IL
30007153,IL
30007153,IL
30007153,IL
30007154,SC
30007154,SC
30007159,CA
30007162,NC
30007162,NC
30007162,NC
30007163,CA
30007163,CA
30007165,IA
30007165,IA
30007173,NY
30007173,NY
30007174,WI
30007174,WI
30007182,WI
30007182,WI
30007182,WI
30007182,WI
30007193,NY
30007193,NY
30007201,SC
30007204,GA
30007204,GA
30007209,CA
30007209,CA
30007211,GA
30007212,GA
30007212,GA
30007219,TX
30007219,TX
30007219,TX
30007219,TX
30007225,MN
30007230,TX
30007230,TX
30007230,TX
30007243,TX
30007243,TX
30007243,TX
30007243,TX
30007243,TX
30007244,IA
30007260,NY
30007260,NY
30007263,CA
30007263,CA
30007263,CA
30007263,CA
30007268,TN
30007268,TN
30007268,TN
30007268,TN
30007279,WI
30007279,WI
30007306,TX
30007306,TX
30007306,TX
30007306,TX
30007345,NY
30007347,NY
30007367,NE
30007386,CA
30007389,TX
30007389,TX
30007393,CA
30007398,NY
30007403,WI
30007403,WI
30007407,WI
30007416,TX
30007416,TX
30007428,GA
30007428,GA
30007433,TX
30007433,TX
30007445,GA
30007445,GA
30007447,SC
30007447,SC
30007452,CA
30007452,CA
30007452,CA
30007452,CA
30007452,CA
30007456,CA
30007456,CA
30007460,NC
30007460,NC
30007462,NY
30007462,NY
30007463,CA
30007465,GA
30007479,TX
30007479,TX
30007481,WI
30007481,WI
30007481,WI
30007484,SC
30007484,SC
30007500,CA
30007520,NY
30007524,CA
30007528,NY
30007531,NY
30007531,NY
30007543,TX
30007543,TX
30007543,TX
30007543,TX
30007544,CA
30007544,CA
30007547,CA
30007547,CA
30007547,CA
30007554,CA
30007555,OH
30007556,NY
30007556,NY
30007556,NY
30007560,TX
30007560,TX
30007563,TX
30007564,TX
30007565,TX
30007565,TX
30007573,TX
30007575,TX
30007575,TX
30007576,NC
30007583,TX
30007585,ME
30007592,TX
30007592,TX
30007603,NY
30007605,MA
30007605,MA
30007611,AZ
30007611,AZ
30007611,AZ
30007611,AZ
30007614,NY
30007614,NY
30007620,PA
30007620,PA
30007623,NY
30007623,NY
30007624,WI
30007624,WI
30007630,WI
30007630,WI
30007646,NJ
30007646,NJ
30007648,TX
30007648,TX
30007648,TX
30007674,NY
30007685,CA
30007688,FL
30007689,GA
30007689,GA
30007693,CA
30007693,CA
30007705,SC
30007713,WI
30007713,WI
30007717,CA
30007717,CA
30007723,CA
30007723,CA
30007726,TX
30007729,WI
30007729,WI
30007730,NC
30007731,SC
30007731,SC
30007731,SC
30007735,WA
30007736,CA
30007736,CA
30007741,TX
30007741,TX
30007748,NY
30007748,NY
30007754,GA
30007754,GA
30007757,NY
30007757,NY
30007757,NY
30007768,GA
30007777,CA
30007777,CA
30007777,CA
30007777,CA
30007778,CA
30007778,CA
30007778,CA
30007779,CA
30007789,CA
30007789,CA
30007789,CA
30007789,CA
30007789,CA
30007800,CA
30007800,CA
30007800,CA
30007847,NC
30007847,NC
30007861,VA
30007861,VA
30007864,SC
30007874,TX
30007878,SC
30007878,SC
30007884,CA
30007884,CA
30007887,NC
30007891,GA
30007895,WI
30007895,WI
30007895,WI
30007907,NY
30007913,TX
30007913,TX
30007915,SC
30007915,SC
30007923,TX
30007923,TX
30007925,TX
30007925,TX
30007927,GA
30007929,GA
30007929,GA
30007938,TX
30007938,TX
30007948,SC
30007952,CA
30007952,CA
30007974,CA
30007976,AZ
30007978,NY
30007978,NY
30007984,FL
30007986,TX
30007993,GA
30008000,NC
30008000,NC
30008000,NC
30008007,MD
30008007,MD
30008008,WA
30008013,CA
30008013,CA
30008013,CA
30008031,CA
30008031,CA
30008031,CA
30008031,CA
30008031,CA
30008031,CA
30008031,CA
30008031,CA
30008031,CA
30008033,VT
30008035,SC
30008035,SC
30008038,CA
30008044,TX
30008044,TX
30008044,TX
30008046,SC
30008052,GA
